GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
todolist,com.sontaypham.todolist.Controller,RoleController,110,0,0,0,46,0,9,0,9,0
todolist,com.sontaypham.todolist.Controller,PermissionController,115,7,0,0,46,2,9,2,9,2
todolist,com.sontaypham.todolist.Controller,TaskController,118,0,0,0,56,0,8,0,8,0
todolist,com.sontaypham.todolist.Controller,AuthenticationController,43,0,0,0,17,0,4,0,4,0
todolist,com.sontaypham.todolist.Controller,UserController,109,11,0,0,39,5,9,1,9,1
todolist,com.sontaypham.todolist.Service,TaskService,3,262,2,2,0,61,2,19,0,19
todolist,com.sontaypham.todolist.Service,PermissionService,0,178,0,4,0,39,0,14,0,12
todolist,com.sontaypham.todolist.Service,UserService,5,378,0,8,0,79,1,25,1,21
todolist,com.sontaypham.todolist.Service,CurrentUserService,0,17,0,0,0,4,0,2,0,2
todolist,com.sontaypham.todolist.Service,RoleService,5,287,1,11,0,55,1,20,0,15
